Frame,Time,Ball_X,Ball_Y,Ball_GridID,Ball_xT,Home_P1_X,Home_P1_Y,Home_P1_GridID,Home_P1_xT,Home_P2_X,Home_P2_Y,Home_P2_GridID,Home_P2_xT,Home_P3_X,Home_P3_Y,Home_P3_GridID,Home_P3_xT,Home_P4_X,Home_P4_Y,Home_P4_GridID,Home_P4_xT,Home_P5_X,Home_P5_Y,Home_P5_GridID,Home_P5_xT,Home_P6_X,Home_P6_Y,Home_P6_GridID,Home_P6_xT,Home_P7_X,Home_P7_Y,Home_P7_GridID,Home_P7_xT,Home_P8_X,Home_P8_Y,Home_P8_GridID,Home_P8_xT,Home_P9_X,Home_P9_Y,Home_P9_GridID,Home_P9_xT,Home_P10_X,Home_P10_Y,Home_P10_GridID,Home_P10_xT,Home_P11_X,Home_P11_Y,Home_P11_GridID,Home_P11_xT,Away_P1_X,Away_P1_Y,Away_P1_GridID,Away_P1_xT,Away_P2_X,Away_P2_Y,Away_P2_GridID,Away_P2_xT,Away_P3_X,Away_P3_Y,Away_P3_GridID,Away_P3_xT,Away_P4_X,Away_P4_Y,Away_P4_GridID,Away_P4_xT,Away_P5_X,Away_P5_Y,Away_P5_GridID,Away_P5_xT,Away_P6_X,Away_P6_Y,Away_P6_GridID,Away_P6_xT,Away_P7_X,Away_P7_Y,Away_P7_GridID,Away_P7_xT,Away_P8_X,Away_P8_Y,Away_P8_GridID,Away_P8_xT,Away_P9_X,Away_P9_Y,Away_P9_GridID,Away_P9_xT,Away_P10_X,Away_P10_Y,Away_P10_GridID,Away_P10_xT,Away_P11_X,Away_P11_Y,Away_P11_GridID,Away_P11_xT,Home_MAX_xT,Home_SUM_xT,Away_MAX_xT,Away_SUM_xT
1,0.1,0.65457,1.04574,7104,0.0068,0.13581,0.59382,4215,0.00273,0.42114,0.64559,4560,0.00604,0.36076,0.60735,4343,0.00402,0.35905,0.85794,6128,0.00408,0.68057,0.67691,4902,0.01835,0.61657,0.48897,3530,0.01522,0.43571,0.33647,2356,0.00778,0.48733,0.97794,6982,0.00382,0.57352,0.91368,6571,0.00716,0.49495,0.87118,6247,0.00808,0.62009,0.78691,5631,0.01083,0.65943,0.41,2905,0.00441,0.60038,0.86529,6154,0.00473,0.38952,0.5275,3716,0.01253,0.61171,0.64676,4580,0.00539,0.91219,0.62721,4506,0.00162,0.39533,0.81956,5817,0.01015,0.47314,0.96147,6875,0.00613,0.62619,1.07544,7101,0.00378,0.75619,0.86279,6170,0.00212,0.52771,0.42309,2996,0.0075,0.72762,0.57191,4067,0.00365,0.01835,0.08811,0.01253,0.06201
2,0.2,0.65305,1.04559,7104,0.0068,0.13533,0.59397,4215,0.00273,0.42086,0.64765,4665,0.0052,0.36019,0.60971,4343,0.00402,0.35886,0.85882,6128,0.00408,0.68019,0.67882,4902,0.01835,0.61629,0.49206,3530,0.01522,0.43438,0.33941,2461,0.00686,0.484,0.9775,6981,0.00484,0.57162,0.91559,6571,0.00716,0.49438,0.87191,6247,0.00808,0.61981,0.79162,5631,0.01083,0.65905,0.41059,2905,0.00441,0.60019,0.86721,6154,0.00473,0.38914,0.52882,3716,0.01253,0.61171,0.64706,4685,0.00602,0.91229,0.62868,4506,0.00162,0.39476,0.82074,5817,0.01015,0.47114,0.96191,6875,0.00613,0.62514,1.07544,7101,0.00378,0.75581,0.86618,6170,0.00212,0.52686,0.42368,2996,0.0075,0.72781,0.57324,4067,0.00365,0.01835,0.08737,0.01253,0.06264
3,0.3,0.65152,1.04515,7104,0.0068,0.13505,0.59427,4215,0.00273,0.42067,0.64956,4665,0.0052,0.35981,0.61221,4343,0.00402,0.35867,0.85971,6128,0.00408,0.67962,0.68074,4902,0.01835,0.61581,0.49529,3530,0.01522,0.43314,0.34265,2461,0.00686,0.48086,0.97706,6981,0.00484,0.56962,0.91765,6570,0.00731,0.4939,0.8725,6247,0.00808,0.61952,0.79632,5736,0.0146,0.65857,0.41132,2905,0.00441,0.5999,0.86912,6258,0.00377,0.38867,0.53015,3821,0.01179,0.61181,0.64735,4685,0.00602,0.91219,0.63029,4506,0.00162,0.39419,0.82206,5817,0.01015,0.46914,0.96235,6875,0.00613,0.62409,1.07544,7101,0.00378,0.75552,0.86956,6275,0.00202,0.526,0.42426,2996,0.0075,0.7279,0.57456,4172,0.00626,0.01835,0.09129,0.01179,0.06345
4,0.4,0.65029,1.04426,7104,0.0068,0.13467,0.59441,4215,0.00273,0.42038,0.65147,4665,0.0052,0.35962,0.61471,4343,0.00402,0.35857,0.86074,6128,0.00408,0.67914,0.68279,4902,0.01835,0.61543,0.49853,3530,0.01522,0.4321,0.34574,2461,0.00686,0.47762,0.97676,6981,0.00484,0.56771,0.91971,6570,0.00731,0.49333,0.87324,6247,0.00808,0.61924,0.80103,5736,0.0146,0.65819,0.41191,3010,0.00495,0.59962,0.87118,6258,0.00377,0.3881,0.53132,3821,0.01179,0.6119,0.64794,4685,0.00602,0.9121,0.63206,4506,0.00162,0.39371,0.82338,5817,0.01015,0.46733,0.96279,6875,0.00613,0.62314,1.07544,7101,0.00378,0.75524,0.87294,6275,0.00202,0.52524,0.425,2996,0.0075,0.7281,0.57603,4172,0.00626,0.01835,0.09129,0.01179,0.06399
5,0.5,0.64905,1.04353,7104,0.0068,0.13419,0.59471,4215,0.00273,0.4201,0.65353,4665,0.0052,0.35943,0.61721,4343,0.00402,0.35848,0.86162,6128,0.00408,0.67867,0.68456,4902,0.01835,0.61505,0.50162,3635,0.01036,0.43105,0.34897,2461,0.00686,0.47448,0.97647,6980,0.00507,0.5659,0.92176,6570,0.00731,0.49276,0.87382,6247,0.00808,0.61895,0.80544,5735,0.01138,0.65781,0.4125,3010,0.00495,0.59933,0.87309,6258,0.00377,0.38771,0.5325,3821,0.01179,0.6119,0.64838,4685,0.00602,0.912,0.63338,4611,0.0017,0.39314,0.82456,5922,0.01951,0.46552,0.96324,6874,0.01012,0.62229,1.07515,7101,0.00378,0.75495,0.87618,6275,0.00202,0.52448,0.42559,2996,0.0075,0.72829,0.57721,4172,0.00626,0.01835,0.08344,0.01951,0.07742
6,0.6,0.6479,1.0425,7104,0.0068,0.13381,0.595,4215,0.00273,0.41981,0.65544,4665,0.0052,0.35924,0.61971,4448,0.00495,0.35838,0.8625,6128,0.00408,0.67819,0.68632,4902,0.01835,0.61476,0.50471,3635,0.01036,0.4299,0.35235,2461,0.00686,0.47143,0.97618,6980,0.00507,0.5641,0.92353,6570,0.00731,0.49219,0.87426,6247,0.00808,0.61867,0.80971,5840,0.01131,0.65752,0.41309,3010,0.00495,0.59905,0.875,6258,0.00377,0.38724,0.53368,3821,0.01179,0.6119,0.64897,4685,0.00602,0.9119,0.63471,4611,0.0017,0.39257,0.82588,5922,0.01951,0.46371,0.96368,6874,0.01012,0.62133,1.07471,7101,0.00378,0.75476,0.87956,6275,0.00202,0.52371,0.42603,2995,0.00755,0.72848,0.57853,4172,0.00626,0.01835,0.0843,0.01951,0.07747
7,0.7,0.64695,1.04147,7103,0.01172,0.13333,0.59529,4214,0.00192,0.41962,0.6575,4665,0.0052,0.35914,0.62221,4448,0.00495,0.35819,0.86338,6128,0.00408,0.67771,0.68809,4902,0.01835,0.61438,0.50779,3635,0.01036,0.42886,0.35559,2566,0.0066,0.46838,0.97603,6980,0.00507,0.56238,0.92544,6570,0.00731,0.49152,0.87485,6247,0.00808,0.61829,0.81382,5840,0.01131,0.65714,0.41368,3010,0.00495,0.59867,0.87706,6258,0.00377,0.38686,0.535,3821,0.01179,0.6119,0.64956,4685,0.00602,0.91181,0.63603,4611,0.0017,0.392,0.82706,5922,0.01951,0.4621,0.96397,6874,0.01012,0.62038,1.07441,7101,0.00378,0.75448,0.88265,6380,0.00231,0.52305,0.42662,3100,0.00722,0.72867,0.57971,4172,0.00626,0.01835,0.08323,0.01951,0.07743
8,0.8,0.646,1.04029,7103,0.01172,0.13295,0.59559,4214,0.00192,0.41943,0.65956,4665,0.0052,0.35895,0.62471,4448,0.00495,0.35819,0.86426,6128,0.00408,0.67724,0.68985,4902,0.01835,0.61409,0.51088,3635,0.01036,0.42771,0.35882,2565,0.00604,0.46552,0.97574,6979,0.00778,0.56067,0.92721,6674,0.00569,0.49095,0.87529,6247,0.00808,0.618,0.81779,5840,0.01131,0.65676,0.41426,3009,0.00412,0.59838,0.87897,6258,0.00377,0.38648,0.53618,3821,0.01179,0.6119,0.65015,4685,0.00602,0.91171,0.63735,4611,0.0017,0.39143,0.82838,5922,0.01951,0.46048,0.96441,6874,0.01012,0.61952,1.07397,7101,0.00378,0.75429,0.88588,6380,0.00231,0.52229,0.42735,3100,0.00722,0.72886,0.58103,4172,0.00626,0.01835,0.08376,0.01951,0.0766
9,0.9,0.64524,1.03912,7103,0.01172,0.13267,0.59588,4214,0.00192,0.41933,0.66162,4665,0.0052,0.35895,0.62721,4448,0.00495,0.3581,0.865,6128,0.00408,0.67667,0.69147,5007,0.01288,0.61381,0.51397,3635,0.01036,0.42667,0.36221,2565,0.00604,0.46267,0.97544,6979,0.00778,0.55905,0.92882,6674,0.00569,0.49029,0.87559,6247,0.00808,0.61762,0.82162,5840,0.01131,0.65638,0.41471,3009,0.00412,0.598,0.88088,6258,0.00377,0.3861,0.5375,3821,0.01179,0.6119,0.65088,4685,0.00602,0.91162,0.63853,4611,0.0017,0.39086,0.82971,5922,0.01951,0.45886,0.96485,6874,0.01012,0.61867,1.07338,7100,0.00371,0.7541,0.88897,6380,0.00231,0.52162,0.42794,3100,0.00722,0.72905,0.58221,4172,0.00626,0.01288,0.07829,0.01951,0.07653
10,1.0,0.64457,1.03779,7103,0.01172,0.13229,0.59618,4214,0.00192,0.41924,0.66368,4770,0.00724,0.35886,0.62956,4448,0.00495,0.358,0.86574,6128,0.00408,0.67619,0.69324,5006,0.01441,0.61352,0.51706,3740,0.01253,0.42562,0.36559,2565,0.00604,0.4599,0.97515,6979,0.00778,0.55752,0.93044,6674,0.00569,0.48962,0.87603,6247,0.00808,0.61733,0.82515,5945,0.01048,0.6561,0.41529,3009,0.00412,0.59762,0.88279,6363,0.00905,0.38571,0.53868,3821,0.01179,0.6119,0.65162,4685,0.00602,0.91152,0.63971,4611,0.0017,0.39029,0.83088,5921,0.01048,0.45743,0.96515,6874,0.01012,0.61781,1.07279,7100,0.00371,0.7539,0.89206,6380,0.00231,0.52095,0.42853,3100,0.00722,0.72914,0.58353,4172,0.00626,0.01441,0.0832,0.01179,0.07278
