index,period,frame_start,frame_end,minute,second,t_min,duration,team,team_name,phase_type,third_start,third_end,x_start,x_end,pen_area_end,is_shot,is_goal,xt_start,xt_end,xt_gain,signed,moment
0,1,40,58,0,3,0.05,1.8,Home,Brisbane,create,middle_third,middle_third,-0.64,-8.62,False,False,False,0.00898,0.01217,0.00319,0.00319,
1,1,58,89,0,4,0.067,3.1,Home,Brisbane,direct,middle_third,attacking_third,-7.97,31.6,False,False,False,0.01883,0.00244,-0.01639,-0.01639,
2,1,89,174,0,7,0.117,8.5,Away,Perth,chaotic,defensive_third,middle_third,-31.89,-1.61,False,False,False,0.00351,0.00638,0.00287,-0.00287,
3,1,174,282,0,16,0.267,10.8,Home,Brisbane,create,middle_third,middle_third,1.14,13.51,False,False,False,0.00666,0.00445,-0.0022,-0.0022,
4,1,282,435,0,27,0.45,15.3,Away,Perth,transition,middle_third,attacking_third,-13.83,42.46,True,False,False,0.00462,0.16402,0.1594,-0.1594,
5,1,435,548,0,42,0.7,11.3,Away,Perth,finish,attacking_third,attacking_third,41.52,47.1,True,False,False,0.0,0.00598,0.00598,-0.00598,
6,1,956,998,1,34,1.567,4.2,Home,Brisbane,direct,middle_third,attacking_third,,28.03,False,False,False,0.0,0.00202,0.00202,0.00202,
7,1,998,1049,1,38,1.633,5.1,Away,Perth,chaotic,defensive_third,defensive_third,-28.92,-46.53,False,False,False,0.00174,0.0,-0.00174,0.00174,
8,1,1210,1238,2,0,2.0,2.8,Home,Brisbane,chaotic,attacking_third,attacking_third,43.44,34.76,False,False,False,0.00162,0.00264,0.00102,0.00102,
9,1,1238,1345,2,2,2.033,10.7,Away,Perth,build_up,defensive_third,defensive_third,-34.49,-20.33,False,False,False,0.00208,0.00474,0.00267,-0.00267,
10,1,1345,1409,2,13,2.217,6.4,Away,Perth,create,defensive_third,middle_third,-19.96,14.66,False,False,False,0.00474,0.01133,0.00658,-0.00658,
11,1,1409,1618,2,19,2.317,20.9,Away,Perth,finish,middle_third,middle_third,15.3,5.41,False,False,False,0.01133,0.00974,-0.00159,0.00159,
12,1,1618,1695,2,40,2.667,7.7,Away,Perth,create,middle_third,defensive_third,4.84,-19.26,False,False,False,0.01045,0.00385,-0.0066,0.0066,
13,1,1695,1744,2,48,2.8,4.9,Away,Perth,build_up,defensive_third,defensive_third,-20.49,-20.79,False,False,False,0.00441,0.00445,4e-05,-4e-05,
14,1,1744,1755,2,53,2.883,1.1,Away,Perth,create,defensive_third,middle_third,-19.35,-7.52,False,False,False,0.00442,0.00605,0.00163,-0.00163,
15,1,1755,1843,2,54,2.9,8.8,Home,Brisbane,create,middle_third,middle_third,6.72,-11.89,False,False,False,0.00634,0.00884,0.0025,0.0025,
16,1,1843,1869,3,3,3.05,2.6,Home,Brisbane,direct,middle_third,attacking_third,-11.35,27.7,False,False,False,0.00958,0.00274,-0.00683,-0.00683,
17,1,1869,1900,3,5,3.083,3.1,Away,Perth,chaotic,defensive_third,defensive_third,-28.85,-46.55,False,False,False,0.00223,0.00055,-0.00168,0.00168,
18,1,2168,2288,3,35,3.583,12.0,Home,Brisbane,finish,attacking_third,attacking_third,42.23,41.46,True,False,False,0.00156,0.0017,0.00014,0.00014,
19,1,2288,2387,3,47,3.783,9.9,Away,Perth,build_up,defensive_third,defensive_third,-41.61,-34.22,False,False,False,0.00174,0.00129,-0.00045,0.00045,
20,1,2387,2408,3,57,3.95,2.1,Away,Perth,direct,defensive_third,middle_third,-33.79,4.51,False,False,False,0.00129,0.00769,0.0064,-0.0064,
21,1,2408,2419,3,59,3.983,1.1,Home,Brisbane,chaotic,middle_third,middle_third,-4.1,9.58,False,False,False,0.00727,0.00515,-0.00212,-0.00212,
22,1,2516,2523,4,10,4.167,0.7,Away,Perth,create,middle_third,defensive_third,-13.43,-18.37,False,False,False,0.00417,0.00266,-0.00151,0.00151,
23,1,2523,2584,4,11,4.183,6.1,Away,Perth,build_up,defensive_third,defensive_third,-20.08,-51.11,False,False,False,0.0029,0.0,-0.0029,0.0029,
24,1,2584,2632,4,17,4.283,4.8,Away,Perth,direct,defensive_third,middle_third,-50.6,-1.87,False,False,False,0.0,0.00692,0.00692,-0.00692,
25,1,2632,2817,4,22,4.367,18.5,Home,Brisbane,create,middle_third,defensive_third,1.51,-19.33,False,False,False,0.00786,0.01784,0.00998,0.00998,
26,1,2817,2845,4,40,4.667,2.8,Home,Brisbane,build_up,defensive_third,defensive_third,-20.29,-20.39,False,False,False,0.01583,0.01296,-0.00286,-0.00286,
27,1,2845,2963,4,43,4.717,11.8,Home,Brisbane,create,defensive_third,attacking_third,-19.09,22.18,False,False,False,0.01799,0.00352,-0.01447,-0.01447,
28,1,2963,3109,4,55,4.917,14.6,Home,Brisbane,finish,attacking_third,defensive_third,22.75,-39.69,False,False,False,0.00333,0.01429,0.01097,0.01097,
29,1,3109,3126,5,9,5.15,1.7,Home,Brisbane,chaotic,attacking_third,attacking_third,40.29,46.79,False,False,False,0.00153,0.00412,0.00259,0.00259,
30,1,3557,3605,5,54,5.9,4.8,Home,Brisbane,set_play,attacking_third,attacking_third,50.6,41.84,True,False,False,0.0,0.00431,0.00431,0.00431,
31,1,3605,3702,5,59,5.983,9.7,Away,Perth,transition,defensive_third,middle_third,-41.74,6.96,False,False,False,0.00128,0.00795,0.00667,-0.00667,
32,1,3702,3734,6,9,6.15,3.2,Away,Perth,create,middle_third,attacking_third,8.08,29.35,False,False,False,0.00793,0.02848,0.02055,-0.02055,
33,1,3734,3787,6,12,6.2,5.3,Home,Brisbane,build_up,defensive_third,defensive_third,-29.4,-20.17,False,False,False,0.02058,0.01089,-0.00968,-0.00968,
34,1,3787,3994,6,17,6.283,20.7,Home,Brisbane,create,defensive_third,middle_third,-19.84,-10.81,False,False,False,0.01781,0.0084,-0.00941,-0.00941,
35,1,3994,4022,6,38,6.633,2.8,Home,Brisbane,direct,middle_third,attacking_third,-10.29,32.89,False,False,False,0.01127,0.0,-0.01127,-0.01127,
36,1,4022,4032,6,41,6.683,1.0,Away,Perth,chaotic,defensive_third,defensive_third,-32.96,-31.14,False,False,False,0.00133,0.00193,0.00059,-0.00059,
37,1,4101,4210,6,49,6.817,10.9,Home,Brisbane,create,attacking_third,middle_third,24.23,-8.4,False,False,False,0.00177,0.0068,0.00504,0.00504,
38,1,4210,4246,7,0,7.0,3.6,Home,Brisbane,direct,middle_third,attacking_third,-8.59,25.47,False,False,False,0.00913,0.00397,-0.00516,-0.00516,
39,1,4399,4546,7,18,7.3,14.7,Home,Brisbane,finish,attacking_third,attacking_third,27.26,47.65,False,False,False,0.00159,0.0,-0.00159,-0.00159,
40,1,4546,4581,7,33,7.55,3.5,Away,Perth,chaotic,defensive_third,defensive_third,-47.91,-46.92,False,False,False,0.0,0.00055,0.00055,-0.00055,
41,1,4641,4693,7,43,7.717,5.2,Home,Brisbane,finish,attacking_third,middle_third,31.9,5.98,False,False,False,0.00149,0.00682,0.00533,0.00533,
42,1,4693,4715,7,48,7.8,2.2,Home,Brisbane,create,middle_third,middle_third,5.38,4.53,False,False,False,0.0067,0.00677,8e-05,8e-05,
43,1,4715,4747,7,50,7.833,3.2,Home,Brisbane,finish,middle_third,middle_third,5.41,5.79,False,False,False,0.00697,0.00634,-0.00063,-0.00063,
44,1,4747,4770,7,53,7.883,2.3,Home,Brisbane,create,middle_third,middle_third,5.37,9.06,False,False,False,0.00807,0.00834,0.00028,0.00028,
