Y_Grid,X0_ID1,X1_ID2,X2_ID3,X3_ID4,X4_ID5,X5_ID6,X6_ID7,X7_ID8,X8_ID9,X9_ID10,X10_ID11,X11_ID12,X12_ID13,X13_ID14,X14_ID15,X15_ID16,X16_ID17,X17_ID18,X18_ID19,X19_ID20,X20_ID21,X21_ID22,X22_ID23,X23_ID24,X24_ID25,X25_ID26,X26_ID27,X27_ID28,X28_ID29,X29_ID30,X30_ID31,X31_ID32,X32_ID33,X33_ID34,X34_ID35,X35_ID36,X36_ID37,X37_ID38,X38_ID39,X39_ID40,X40_ID41,X41_ID42,X42_ID43,X43_ID44,X44_ID45,X45_ID46,X46_ID47,X47_ID48,X48_ID49,X49_ID50,X50_ID51,X51_ID52,X52_ID53,X53_ID54,X54_ID55,X55_ID56,X56_ID57,X57_ID58,X58_ID59,X59_ID60,X60_ID61,X61_ID62,X62_ID63,X63_ID64,X64_ID65,X65_ID66,X66_ID67,X67_ID68,X68_ID69,X69_ID70,X70_ID71,X71_ID72,X72_ID73,X73_ID74,X74_ID75,X75_ID76,X76_ID77,X77_ID78,X78_ID79,X79_ID80,X80_ID81,X81_ID82,X82_ID83,X83_ID84,X84_ID85,X85_ID86,X86_ID87,X87_ID88,X88_ID89,X89_ID90,X90_ID91,X91_ID92,X92_ID93,X93_ID94,X94_ID95,X95_ID96,X96_ID97,X97_ID98,X98_ID99,X99_ID100,X100_ID101,X101_ID102,X102_ID103,X103_ID104,X104_ID105
0,0.00000000,0.00000000,0.00057356,0.00252141,0.00078912,0.00000000,0.00205022,0.00157447,0.00184848,0.00151136,0.00155935,0.00149019,0.00163998,0.00155991,0.00159940,0.00142925,0.00189713,0.00222583,0.00152187,0.00294367,0.00111009,0.00170078,0.00180776,0.00191383,0.00183085,0.00198867,0.00225089,0.00257754,0.00236169,0.00281875,0.00110692,0.00240491,0.00356114,0.00306123,0.00255248,0.00240317,0.00265611,0.00325609,0.00188105,0.00412857,0.00449833,0.00462555,0.00351924,0.00359734,0.00404116,0.00544501,0.00368696,0.00242231,0.00642453,0.00487679,0.00469364,0.00468305,0.00348621,0.00529378,0.00599127,0.00559919,0.00726021,0.00778194,0.00667979,0.00623622,0.00629399,0.00617716,0.00864825,0.00821790,0.01082480,0.00810981,0.02208618,0.01378321,0.01157575,0.00980440,0.01057425,0.00918821,0.01058975,0.01066396,0.01356804,0.01597450,0.01169001,0.01461723,0.01760509,0.01895508,0.01296968,0.02174833,0.01696265,0.01526254,0.01443934,0.01482248,0.01521502,0.01273855,0.02001670,0.02071225,0.01547256,0.01666782,0.01706077,0.02010971,0.01965844,0.01761278,0.02699279,0.04278715,0.03987259,0.01760127,0.01094134,0.00993292,0.01125305,0.00000000,0.03455638
1,0.00000000,0.00000000,0.00073159,0.00000000,0.00000000,0.00132219,0.00119794,0.00069942,0.00027883,0.00067862,0.00019410,0.00044676,0.00102862,0.00145828,0.00168110,0.00119913,0.00132365,0.00060648,0.00178895,0.00000000,0.00270547,0.00228582,0.00179033,0.00138083,0.00186114,0.00249825,0.00161262,0.00170104,0.00176618,0.00326862,0.00142279,0.00180478,0.00294858,0.00347353,0.00365045,0.00289854,0.00272939,0.00323839,0.00246537,0.00420701,0.00457636,0.00473491,0.00532557,0.00323730,0.00778830,0.00410827,0.00459966,0.00603145,0.00384042,0.00371740,0.00456629,0.00476275,0.00227064,0.00421847,0.00921775,0.00785128,0.00617870,0.01209258,0.00709002,0.00795183,0.00793079,0.00863412,0.00635302,0.00825592,0.01365053,0.00905952,0.00901947,0.00929224,0.00940157,0.00818152,0.01098718,0.01343492,0.01375815,0.00925488,0.01242909,0.01549280,0.01414282,0.01906540,0.01415108,0.01003179,0.01809619,0.02371304,0.01653175,0.00000000,0.01563316,0.02014770,0.01224207,0.02958166,0.02968695,0.02143418,0.02173030,0.01518849,0.01531921,0.02983582,0.01298729,0.01261903,0.02472142,0.01062304,0.02146028,0.02905257,0.02891004,0.06430838,0.00000000,0.00000000,0.00000000
2,0.00000000,0.00025720,0.00055464,0.00054180,0.00031093,0.00097144,0.00091401,0.00098609,0.00048857,0.00186571,0.00138545,0.00075367,0.00088290,0.00136013,0.00249122,0.00094528,0.00088342,0.00129039,0.00168078,0.00000000,0.00182404,0.00106834,0.00162611,0.00175671,0.00201433,0.00236811,0.00175119,0.00172566,0.00154589,0.00262549,0.00258921,0.00428903,0.00322753,0.00518464,0.00278462,0.00316249,0.00336116,0.00281003,0.00335450,0.00423477,0.00415354,0.00420673,0.00294551,0.00417260,0.00434011,0.00478341,0.00454188,0.00389961,0.00490242,0.00547299,0.00571108,0.00535872,0.00407632,0.00676151,0.00732884,0.00601490,0.00513029,0.00952598,0.00718880,0.00832203,0.00759833,0.00890902,0.00944425,0.00764190,0.00794010,0.00973942,0.00888086,0.01186658,0.00987594,0.01363009,0.01328676,0.01273878,0.01481614,0.01549105,0.01430967,0.01365667,0.01618044,0.01822471,0.01672153,0.02073838,0.01835609,0.01931975,0.02865594,0.01894574,0.01861983,0.02979715,0.01697950,0.01522970,0.01882939,0.01290223,0.06815607,0.00957220,0.02666809,0.01785470,0.02169850,0.01814275,0.01424188,0.01575081,0.04756456,0.02166126,0.01660923,0.01129212,0.01093082,0.00000000,0.00000000
3,0.00000000,0.00000000,0.00000000,0.00128221,0.00025479,0.00081913,0.00177537,0.00110490,0.00092772,0.00076209,0.00144075,0.00170340,0.00059081,0.00131821,0.00176904,0.00224341,0.00142285,0.00171483,0.00168292,0.00146668,0.00148725,0.00173630,0.00130029,0.00313436,0.00190236,0.00220732,0.00205115,0.00190383,0.00184278,0.00220335,0.00311156,0.00244788,0.00256707,0.00291161,0.00334483,0.00272506,0.00279472,0.00446473,0.00326378,0.00317400,0.00499153,0.00447035,0.00607588,0.00439446,0.00357551,0.00364629,0.00461716,0.00478105,0.00444332,0.00475608,0.00444475,0.00482711,0.00548536,0.00589998,0.00684084,0.00568109,0.00656929,0.01802435,0.00782949,0.00880627,0.00827288,0.01126864,0.01126817,0.00839938,0.01178816,0.01023806,0.00999418,0.01085972,0.01233825,0.01409979,0.01262064,0.01504276,0.01372162,0.01165601,0.01861887,0.01314592,0.01783804,0.01631492,0.01800645,0.01676576,0.01623875,0.01798294,0.02794731,0.02326618,0.01927518,0.02478721,0.01963962,0.01692604,0.01587017,0.01825922,0.01760672,0.01478077,0.01225645,0.01985708,0.01368520,0.02190247,0.00853210,0.01762413,0.03477929,0.19311078,0.01967552,0.01282801,0.03015531,0.00000000,0.00000000
4,0.00000000,0.00000000,0.00141246,0.00020367,0.00000000,0.00053095,0.00166858,0.00045289,0.00149669,0.00119895,0.00206851,0.00208434,0.00153132,0.00142587,0.00172127,0.00174012,0.00296938,0.00185658,0.00186991,0.00209865,0.00180820,0.00126152,0.00227087,0.00204245,0.00345058,0.00257899,0.00302801,0.00220902,0.00253192,0.00212766,0.00362061,0.00262887,0.00247032,0.00310375,0.00252092,0.00351104,0.00501912,0.00365201,0.00390086,0.00428675,0.00370247,0.00456194,0.00507718,0.00498361,0.00489753,0.00466653,0.00619172,0.00444620,0.00414676,0.00646603,0.00548763,0.00576149,0.00764258,0.00650005,0.00632178,0.00583931,0.00720428,0.00970099,0.00767818,0.00945757,0.00681327,0.00972406,0.01188470,0.00959688,0.00985713,0.01035429,0.01030708,0.01689326,0.01222550,0.01192983,0.01407538,0.01367688,0.01642183,0.01845301,0.01325641,0.01303523,0.01492045,0.02213017,0.01569932,0.01650186,0.01560571,0.01673083,0.02029410,0.02197341,0.02407653,0.01975761,0.02247432,0.01647641,0.03409389,0.02026430,0.03080940,0.01536327,0.02917814,0.01721985,0.01570160,0.01842224,0.04163635,0.01133061,0.01571966,0.01172807,0.02871783,0.01475488,0.01211890,0.00000000,0.00000000
5,0.00000000,0.00000000,0.00063726,0.00000000,0.00000000,0.00062634,0.00188783,0.00423636,0.00246128,0.00062459,0.00180187,0.00073457,0.00153167,0.00181228,0.00195358,0.00095277,0.00170881,0.00158253,0.00202615,0.00134296,0.00210394,0.00372822,0.00206675,0.00290287,0.00260028,0.00230271,0.00162930,0.00271000,0.00272609,0.00289329,0.00322433,0.00339587,0.00350837,0.00347320,0.00525637,0.00347329,0.00295648,0.00299851,0.00501549,0.00315002,0.00399525,0.00367756,0.00421204,0.00582320,0.00520736,0.00481127,0.00472371,0.00625522,0.00460718,0.00563450,0.00733338,0.00470908,0.01512717,0.00581055,0.00827982,0.00681367,0.00948261,0.00957962,0.00770698,0.00781860,0.00848317,0.00823114,0.00851310,0.00752279,0.01137112,0.01108812,0.01350848,0.01033682,0.01019654,0.01537657,0.01185065,0.01383988,0.01304370,0.01669511,0.01340092,0.01227669,0.01415008,0.01784033,0.01739743,0.01785976,0.04732181,0.02336062,0.02064455,0.02266355,0.03209334,0.02529941,0.02348642,0.01890530,0.02210295,0.01702670,0.02011789,0.02747008,0.03428976,0.02110702,0.01540957,0.02201260,0.05046519,0.01409703,0.01196507,0.02652671,0.02413766,0.02475562,0.04525366,0.02916199,0.00000000
6,0.00065435,0.00127925,0.00150247,0.00073337,0.00024068,0.00000000,0.00066767,0.00087860,0.00128872,0.00154549,0.00025513,0.00121127,0.00232161,0.00167643,0.00149767,0.00205024,0.00227526,0.00228743,0.00145772,0.00312366,0.00182284,0.00287639,0.00230151,0.00174362,0.00347728,0.00157763,0.00220925,0.00426464,0.00296044,0.00229864,0.00267891,0.00302077,0.00348932,0.00284931,0.00305996,0.00293196,0.00380681,0.00355603,0.00409259,0.00366659,0.00536008,0.00395559,0.00299467,0.00508575,0.00541505,0.00460316,0.00646036,0.00710463,0.00547921,0.00528075,0.00660980,0.00797346,0.00783347,0.00675417,0.00574750,0.00773304,0.00841458,0.00641952,0.00824444,0.00858683,0.01031724,0.00858887,0.01094667,0.00921947,0.01049756,0.01140607,0.01518189,0.01112701,0.01155099,0.01373432,0.01407249,0.01453477,0.01264018,0.01331967,0.02178069,0.01680094,0.01741888,0.01906936,0.02020101,0.01616269,0.01543469,0.02011276,0.02385940,0.01500746,0.02587294,0.01465123,0.02326080,0.01789840,0.02719831,0.01862640,0.03253093,0.02007374,0.02253214,0.03288196,0.07621702,0.02431049,0.02201350,0.02686662,0.02009905,0.03523760,0.02534860,0.01115466,0.01038956,0.03212514,0.00000000
7,0.00000000,0.00000000,0.00033073,0.00093082,0.00158504,0.00411768,0.00063432,0.00131550,0.00183366,0.00169736,0.00156640,0.00152154,0.00124276,0.00216745,0.00181717,0.00140227,0.00244175,0.00158320,0.00110663,0.00242286,0.00204103,0.00208481,0.00212628,0.00252141,0.00208771,0.00251757,0.00238377,0.00176918,0.00368350,0.00268891,0.00359529,0.00338795,0.00278385,0.00385205,0.00345486,0.00368260,0.00371266,0.00348723,0.00412221,0.00400302,0.00493344,0.00654017,0.01129643,0.00490452,0.00560756,0.00526518,0.00645194,0.00689567,0.00621396,0.00541680,0.00598762,0.00595026,0.01032196,0.00821940,0.00745640,0.00700200,0.01055521,0.00771543,0.00813701,0.00695409,0.01335910,0.00844064,0.00785283,0.01489559,0.00967169,0.01228576,0.01242542,0.01139863,0.01260506,0.01338482,0.01404680,0.03138458,0.01447543,0.01495501,0.01160041,0.01442967,0.01464279,0.01646271,0.01940999,0.01907754,0.01474119,0.01688117,0.01787423,0.01338889,0.01155640,0.01494894,0.01881911,0.02529880,0.02836168,0.05704279,0.02849736,0.03483968,0.02049726,0.01667901,0.02564473,0.05920747,0.02003916,0.03260707,0.01033792,0.01455019,0.02040200,0.02523310,0.02995844,0.02953928,0.00000000
8,0.00000000,0.00226715,0.00026084,0.00000000,0.00061834,0.00000000,0.00158202,0.00138616,0.00293279,0.00148535,0.00159623,0.00088913,0.00087256,0.00155867,0.00145655,0.00155187,0.00085962,0.00235501,0.00261364,0.00275784,0.00235799,0.00318863,0.00196584,0.00251800,0.00279630,0.00234201,0.00264791,0.00243011,0.00232730,0.00259913,0.00249253,0.00256444,0.00284897,0.00361508,0.00447199,0.00374980,0.00364616,0.00359667,0.00451640,0.00485759,0.00484063,0.00548222,0.00444109,0.00567187,0.00558147,0.00583153,0.00705359,0.00649016,0.00555893,0.00671033,0.00912405,0.00637996,0.00731637,0.00753329,0.00595535,0.00748012,0.01081138,0.00983764,0.00718549,0.00958740,0.00894012,0.00798532,0.00869943,0.00907739,0.00976547,0.01002975,0.01163327,0.01602352,0.01148797,0.01446629,0.01324660,0.01656480,0.01417553,0.01884226,0.01553138,0.02250871,0.01815418,0.01706605,0.01377996,0.03180309,0.02220793,0.02125013,0.01896335,0.01677888,0.02398848,0.01558488,0.01490640,0.03231484,0.02208826,0.01467028,0.01953992,0.06731129,0.11132325,0.03146228,0.01163900,0.02173019,0.00353784,0.02084217,0.00672152,0.07073188,0.00814495,0.00000000,0.08566312,0.00343534,0.00000000
9,0.00000000,0.00000000,0.00009029,0.00053668,0.00148874,0.00087505,0.00000000,0.00125134,0.00059775,0.00102009,0.00223262,0.00099189,0.00135808,0.00150454,0.00143621,0.00203829,0.00238629,0.00159421,0.00140188,0.00203142,0.00338817,0.00189315,0.00322823,0.00225674,0.00309030,0.00277645,0.00168860,0.00300600,0.00312786,0.00448707,0.00291313,0.00550071,0.00345008,0.00324515,0.00297906,0.00422308,0.00345904,0.00444278,0.00504128,0.00483708,0.00414381,0.00426324,0.00671740,0.00571359,0.00727239,0.00501170,0.00647699,0.00521454,0.00627189,0.00680067,0.00606552,0.00732045,0.00578748,0.00859635,0.00758845,0.00830245,0.00767156,0.01060488,0.00788333,0.00822989,0.00779165,0.00874977,0.01190485,0.00924962,0.01107239,0.01238728,0.01182658,0.01334662,0.01183920,0.01306468,0.01372605,0.01084226,0.01643700,0.03151136,0.01402996,0.02234173,0.01469234,0.02420643,0.01971921,0.03545587,0.01916651,0.01624200,0.02492409,0.02056352,0.01791606,0.01741918,0.02456721,0.03571225,0.01799457,0.02795701,0.02911669,0.02465693,0.03314072,0.07760183,0.07378262,0.02317363,0.00700981,0.00000000,0.00941990,0.01068754,0.01207593,0.00573486,0.00000000,0.02631678,0.01796437
